
---------- Begin Simulation Statistics ----------
simSeconds                                   0.333153                       # Number of seconds simulated (Second)
simTicks                                 333153023060                       # Number of ticks simulated (Tick)
finalTick                                333153023060                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  21179.05                       # Real time elapsed on the host (Second)
hostTickRate                                 15730313                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     877860                       # Number of bytes of host memory used (Byte)
simInsts                                   1538384906                       # Number of instructions simulated (Count)
simOps                                     3183389517                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    72637                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     150308                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1164870775                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.757204                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.320649                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      3303474428                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   232094                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3274118413                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1432                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            120316913                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         141233923                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              217859                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1164538173                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.811517                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.767634                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 273488928     23.48%     23.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 185157450     15.90%     39.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 196632310     16.89%     56.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 142947675     12.28%     68.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 105821439      9.09%     77.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  73911389      6.35%     83.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  54144119      4.65%     88.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  42450793      3.65%     92.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  31313868      2.69%     94.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  23632382      2.03%     96.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 15604731      1.34%     98.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  9053375      0.78%     99.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  5227194      0.45%     99.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  3453159      0.30%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                   845106      0.07%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   324548      0.03%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   234804      0.02%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   264209      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     1965      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                    21935      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                     6790      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        4      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                21                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1164538173                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  815463     37.07%     37.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     37.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     37.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   276      0.01%     37.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     37.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     3      0.00%     37.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     37.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     37.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     37.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     37.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     37.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     37.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     37.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                   4600      0.21%     37.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     37.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     94      0.00%     37.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     1      0.00%     37.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     37.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     37.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     37.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    1      0.00%     37.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     37.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     37.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     37.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     37.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     37.29% # attempts to use FU when none available (Count)
