
---------- Begin Simulation Statistics ----------
simSeconds                                   0.021660                       # Number of seconds simulated (Second)
simTicks                                  21660225730                       # Number of ticks simulated (Tick)
finalTick                                 21660225730                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2127.52                       # Real time elapsed on the host (Second)
hostTickRate                                 10180978                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811844                       # Number of bytes of host memory used (Byte)
simInsts                                    215360524                       # Number of instructions simulated (Count)
simOps                                      375935496                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   101226                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     176701                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         75735084                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.351667                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.843603                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       382709629                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      323                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      380439049                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   6568                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6774406                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          13599054                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 194                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            75639917                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               5.029607                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.525831                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6789795      8.98%      8.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   8993517     11.89%     20.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4701628      6.22%     27.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8974172     11.86%     38.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8905297     11.77%     50.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6104742      8.07%     58.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5341130      7.06%     65.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5917257      7.82%     73.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4640143      6.13%     79.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   5233516      6.92%     86.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  4007860      5.30%     92.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  2837580      3.75%     95.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  2007650      2.65%     98.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                   778128      1.03%     99.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                   347538      0.46%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                    47524      0.06%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     7578      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     3345      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                      812      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      191      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      496      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                       15      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        3      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              75639917                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1548584     97.62%     97.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     97.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     97.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   228      0.01%     97.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     97.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    45      0.00%     97.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     97.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     97.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     97.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     97.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     97.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     97.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     97.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    115      0.01%     97.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     97.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     50      0.00%     97.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   239      0.02%     97.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     97.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     97.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     97.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   33      0.00%     97.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     97.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     97.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     97.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd              7195      0.45%     98.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     98.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     98.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt               705      0.04%     98.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     98.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     98.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult            16908      1.07%     99.23% # attempts to use FU when none available (Count)
