
---------- Begin Simulation Statistics ----------
simSeconds                                   0.022403                       # Number of seconds simulated (Second)
simTicks                                  22403418180                       # Number of ticks simulated (Tick)
finalTick                                 22403418180                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2008.89                       # Real time elapsed on the host (Second)
hostTickRate                                 11152136                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811980                       # Number of bytes of host memory used (Byte)
simInsts                                    215360524                       # Number of instructions simulated (Count)
simOps                                      375935496                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   107204                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     187136                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         78333657                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.363733                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.749272                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       383255336                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      319                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      380798434                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5915                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7320083                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14778513                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 190                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            78239859                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.867064                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.279150                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7336304      9.38%      9.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5496952      7.03%     16.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7545002      9.64%     26.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10617849     13.57%     39.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9628491     12.31%     51.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6771615      8.65%     60.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6103751      7.80%     68.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7143822      9.13%     77.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4673016      5.97%     83.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   4931362      6.30%     89.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  3808541      4.87%     94.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  2129193      2.72%     97.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  1183651      1.51%     98.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                   530432      0.68%     99.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                   129711      0.17%     99.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   199359      0.25%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     7256      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     2325      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     1043      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      136      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                       42      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        5      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              78239859                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1081648     96.73%     96.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     96.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     96.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   143      0.01%     96.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     96.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    51      0.00%     96.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     96.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     96.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     96.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     96.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     96.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     96.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     96.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    659      0.06%     96.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     96.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     44      0.00%     96.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   182      0.02%     96.82% # attempts to use FU when none available (Count)
